"id","season","city","date","match_type","player_of_match","venue","team1","team2","toss_winner","toss_decision","winner","result","result_margin","target_runs","target_overs","super_over","method","umpire1","umpire2"
419111,"2009/10","Ahmedabad","2010-03-15","League","V Sehwag","Sardar Patel Stadium, Motera","Rajasthan Royals","Delhi Daredevils","Delhi Daredevils","field","Delhi Daredevils","wickets",6,142,20,"N",NA,"BG Jerling","RE Koertzen"
419118,"2009/10","Ahmedabad","2010-03-20","League","AA Jhunjhunwala","Sardar Patel Stadium, Motera","Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals","bat","Rajasthan Royals","runs",34,169,20,"N",NA,"RE Koertzen","RB Tiffin"
419126,"2009/10","Ahmedabad","2010-03-26","League","YK Pathan","Sardar Patel Stadium, Motera","Rajasthan Royals","Deccan Chargers","Deccan Chargers","bat","Rajasthan Royals","wickets",8,149,20,"N",NA,"HDPK Dharmasena","SJA Taufel"
419129,"2009/10","Ahmedabad","2010-03-28","League","NV Ojha","Sardar Patel Stadium, Motera","Rajasthan Royals","Chennai Super Kings","Rajasthan Royals","bat","Rajasthan Royals","runs",17,178,20,"N",NA,"SS Hazare","SJA Taufel"
733979,"2014","Ahmedabad","2014-05-05","League","PV Tambe","Sardar Patel Stadium, Motera","Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","field","Rajasthan Royals","runs",10,171,20,"N",NA,"NJ Llong","CK Nandan"
733989,"2014","Ahmedabad","2014-05-08","League","B Kumar","Sardar Patel Stadium, Motera","Rajasthan Royals","Sunrisers Hyderabad","Rajasthan Royals","field","Sunrisers Hyderabad","runs",32,135,20,"N",NA,"AK Chaudhary","NJ Llong"
734011,"2014","Ahmedabad","2014-05-15","League","AM Rahane","Sardar Patel Stadium, Motera","Rajasthan Royals","Delhi Daredevils","Delhi Daredevils","field","Rajasthan Royals","runs",62,202,20,"N",NA,"S Ravi","RJ Tucker"
734017,"2014","Ahmedabad","2014-05-19","League","MEK Hussey","Sardar Patel Stadium, Motera","Rajasthan Royals","Mumbai Indians","Mumbai Indians","bat","Mumbai Indians","runs",25,179,20,"N",NA,"S Ravi","RJ Tucker"
829721,"2015","Ahmedabad","2015-04-14","League","SPD Smith","Sardar Patel Stadium, Motera","Rajasthan Royals","Mumbai Indians","Mumbai Indians","bat","Rajasthan Royals","wickets",7,165,20,"N",NA,"AK Chaudhary","SD Fry"
829735,"2015","Ahmedabad","2015-04-19","League","AM Rahane","Sardar Patel Stadium, Motera","Rajasthan Royals","Chennai Super Kings","Chennai Super Kings","bat","Rajasthan Royals","wickets",8,157,20,"N",NA,"AK Chaudhary","M Erasmus"
829741,"2015","Ahmedabad","2015-04-21","League","SE Marsh","Sardar Patel Stadium, Motera","Rajasthan Royals","Kings XI Punjab","Kings XI Punjab","field","Kings XI Punjab","tie",NA,192,20,"Y",NA,"M Erasmus","S Ravi"
829749,"2015","Ahmedabad","2015-04-24","League","MA Starc","Sardar Patel Stadium, Motera","Rajasthan Royals","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Royal Challengers Bangalore","wickets",9,131,20,"N",NA,"M Erasmus","S Ravi"
1254078,"2021","Ahmedabad","2021-04-26","League","EJG Morgan","Narendra Modi Stadium, Ahmedabad","Punjab Kings","Kolkata Knight Riders","Kolkata Knight Riders","field","Kolkata Knight Riders","wickets",5,124,20,"N",NA,"PR Reiffel","YC Barde"
1254079,"2021","Ahmedabad","2021-04-27","League","AB de Villiers","Narendra Modi Stadium, Ahmedabad","Royal Challengers Bangalore","Delhi Capitals","Delhi Capitals","field","Royal Challengers Bangalore","runs",1,172,20,"N",NA,"S Ravi","VK Sharma"
1254082,"2021","Ahmedabad","2021-04-29","League","PP Shaw","Narendra Modi Stadium, Ahmedabad","Kolkata Knight Riders","Delhi Capitals","Delhi Capitals","field","Delhi Capitals","wickets",7,155,20,"N",NA,"AK Chaudhary","YC Barde"
1254083,"2021","Ahmedabad","2021-04-30","League","Harpreet Brar","Narendra Modi Stadium, Ahmedabad","Punjab Kings","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Punjab Kings","runs",34,180,20,"N",NA,"S Ravi","VK Sharma"
1254086,"2021","Ahmedabad","2021-05-02","League","MA Agarwal","Narendra Modi Stadium, Ahmedabad","Punjab Kings","Delhi Capitals","Delhi Capitals","field","Delhi Capitals","wickets",7,167,20,"N",NA,"AK Chaudhary","AY Dandekar"
1312199,"2022","Ahmedabad","2022-05-27","Qualifier 2","JC Buttler","Narendra Modi Stadium, Ahmedabad","Royal Challengers Bangalore","Rajasthan Royals","Rajasthan Royals","field","Rajasthan Royals","wickets",7,158,20,"N",NA,"CB Gaffaney","Nitin Menon"
1312200,"2022","Ahmedabad","2022-05-29","Final","HH Pandya","Narendra Modi Stadium, Ahmedabad","Rajasthan Royals","Gujarat Titans","Rajasthan Royals","bat","Gujarat Titans","wickets",7,131,20,"N",NA,"CB Gaffaney","Nitin Menon"
1359475,"2023","Ahmedabad","2023-03-31","League","Rashid Khan","Narendra Modi Stadium, Ahmedabad","Chennai Super Kings","Gujarat Titans","Gujarat Titans","field","Gujarat Titans","wickets",5,179,20,"N",NA,"Nitin Menon","HAS Khalid"
1359487,"2023","Ahmedabad","2023-04-09","League","RK Singh","Narendra Modi Stadium, Ahmedabad","Gujarat Titans","Kolkata Knight Riders","Gujarat Titans","bat","Kolkata Knight Riders","wickets",3,205,20,"N",NA,"Nitin Menon","Tapan Sharma"
