"id","season","city","date","match_type","player_of_match","venue","team1","team2","toss_winner","toss_decision","winner","result","result_margin","target_runs","target_overs","super_over","method","umpire1","umpire2"
335982,"2007/08","Bangalore","2008-04-18","League","BB McCullum","M Chinnaswamy Stadium","Royal Challengers Bangalore","Kolkata Knight Riders","Royal Challengers Bangalore","field","Kolkata Knight Riders","runs",140,223,20,"N",NA,"Asad Rauf","RE Koertzen"
335992,"2007/08","Bangalore","2008-04-26","League","SR Watson","M Chinnaswamy Stadium","Royal Challengers Bangalore","Rajasthan Royals","Rajasthan Royals","field","Rajasthan Royals","wickets",7,136,20,"N",NA,"MR Benson","IL Howell"
335996,"2007/08","Bangalore","2008-04-28","League","MS Dhoni","M Chinnaswamy Stadium","Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings","bat","Chennai Super Kings","runs",13,179,20,"N",NA,"BR Doctrove","RB Tiffin"
336034,"2007/08","Bangalore","2008-05-03","League","P Kumar","M Chinnaswamy Stadium","Royal Challengers Bangalore","Deccan Chargers","Deccan Chargers","field","Royal Challengers Bangalore","runs",3,157,20,"N",NA,"BR Doctrove","SL Shastri"
336006,"2007/08","Bangalore","2008-05-05","League","S Sreesanth","M Chinnaswamy Stadium","Royal Challengers Bangalore","Kings XI Punjab","Kings XI Punjab","field","Kings XI Punjab","wickets",6,127,20,"N",NA,"SJ Davis","BR Doctrove"
336026,"2007/08","Bangalore","2008-05-19","League","SP Goswami","M Chinnaswamy Stadium","Royal Challengers Bangalore","Delhi Daredevils","Delhi Daredevils","field","Delhi Daredevils","wickets",5,155,20,"N",NA,"SJ Davis","GA Pratapkumar"
336012,"2007/08","Bangalore","2008-05-28","League","CRD Fernando","M Chinnaswamy Stadium","Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians","field","Mumbai Indians","wickets",9,123,18,"N",NA,"BF Bowden","AV Jayaprakash"
419112,"2009/10","Bangalore","2010-03-16","League","JH Kallis","M Chinnaswamy Stadium","Royal Challengers Bangalore","Kings XI Punjab","Kings XI Punjab","bat","Royal Challengers Bangalore","wickets",8,204,20,"N",NA,"S Das","DJ Harper"
419115,"2009/10","Bangalore","2010-03-18","League","JH Kallis","M Chinnaswamy Stadium","Royal Challengers Bangalore","Rajasthan Royals","Royal Challengers Bangalore","field","Royal Challengers Bangalore","wickets",10,93,20,"N",NA,"K Hariharan","DJ Harper"
419123,"2009/10","Bangalore","2010-03-23","League","RV Uthappa","M Chinnaswamy Stadium","Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings","field","Royal Challengers Bangalore","runs",36,172,20,"N",NA,"RE Koertzen","RB Tiffin"
419128,"2009/10","Bangalore","2010-03-25","League","KM Jadhav","M Chinnaswamy Stadium","Royal Challengers Bangalore","Delhi Daredevils","Royal Challengers Bangalore","field","Delhi Daredevils","runs",17,184,20,"N",NA,"BG Jerling","RE Koertzen"
419145,"2009/10","Bangalore","2010-04-08","League","TL Suman","M Chinnaswamy Stadium","Royal Challengers Bangalore","Deccan Chargers","Deccan Chargers","field","Deccan Chargers","wickets",7,185,20,"N",NA,"S Asnani","DJ Harper"
419148,"2009/10","Bangalore","2010-04-10","League","R Vinay Kumar","M Chinnaswamy Stadium","Royal Challengers Bangalore","Kolkata Knight Riders","Royal Challengers Bangalore","field","Royal Challengers Bangalore","wickets",7,161,20,"N",NA,"K Hariharan","DJ Harper"
419157,"2009/10","Bangalore","2010-04-17","League","R McLaren","M Chinnaswamy Stadium","Royal Challengers Bangalore","Mumbai Indians","Royal Challengers Bangalore","field","Mumbai Indians","runs",57,192,20,"N",NA,"HDPK Dharmasena","SJA Taufel"
501205,"2011","Bangalore","2011-04-12","League","SR Tendulkar","M Chinnaswamy Stadium","Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians","field","Mumbai Indians","wickets",9,141,20,"N",NA,"HDPK Dharmasena","AL Hill"
501232,"2011","Bangalore","2011-04-29","League","V Kohli","M Chinnaswamy Stadium","Royal Challengers Bangalore","Pune Warriors","Pune Warriors","field","Royal Challengers Bangalore","runs",26,182,20,"N",NA,"Aleem Dar","SS Hazare"
501244,"2011","Bangalore","2011-05-06","League","CH Gayle","M Chinnaswamy Stadium","Royal Challengers Bangalore","Kings XI Punjab","Kings XI Punjab","field","Royal Challengers Bangalore","runs",85,206,20,"N",NA,"Aleem Dar","RB Tiffin"
