"id","season","city","date","match_type","player_of_match","venue","team1","team2","toss_winner","toss_decision","winner","result","result_margin","target_runs","target_overs","super_over","method","umpire1","umpire2"
1082595,"2017","Bengaluru","2017-04-08","League","KM Jadhav","M.Chinnaswamy Stadium","Royal Challengers Bangalore","Delhi Daredevils","Royal Challengers Bangalore","bat","Royal Challengers Bangalore","runs",15,158,20,"N",NA,"S Ravi","VK Sharma"
1136568,"2018","Bengaluru","2018-04-13","League","UT Yadav","M.Chinnaswamy Stadium","Kings XI Punjab","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Royal Challengers Bangalore","wickets",4,156,20,"N",NA,"A Deshmukh","S Ravi"
1136571,"2018","Bengaluru","2018-04-15","League","SV Samson","M.Chinnaswamy Stadium","Rajasthan Royals","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Rajasthan Royals","runs",19,218,20,"N",NA,"C Shamshuddin","S Ravi"
1136579,"2018","Bengaluru","2018-04-21","League","AB de Villiers","M.Chinnaswamy Stadium","Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Royal Challengers Bangalore","wickets",6,175,20,"N",NA,"CB Gaffaney","CK Nandan"
1136584,"2018","Bengaluru","2018-04-25","League","MS Dhoni","M.Chinnaswamy Stadium","Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings","field","Chennai Super Kings","wickets",5,206,20,"N",NA,"NJ Llong","VK Sharma"
1136589,"2018","Bengaluru","2018-04-29","League","CA Lynn","M.Chinnaswamy Stadium","Royal Challengers Bangalore","Kolkata Knight Riders","Kolkata Knight Riders","field","Kolkata Knight Riders","wickets",6,176,20,"N",NA,"AK Chaudhary","NJ Llong"
1136591,"2018","Bengaluru","2018-05-01","League","TG Southee","M.Chinnaswamy Stadium","Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians","field","Royal Challengers Bangalore","runs",14,168,20,"N",NA,"M Erasmus","Nitin Menon"
1136611,"2018","Bengaluru","2018-05-17","League","AB de Villiers","M.Chinnaswamy Stadium","Royal Challengers Bangalore","Sunrisers Hyderabad","Sunrisers Hyderabad","field","Royal Challengers Bangalore","runs",14,219,20,"N",NA,"AY Dandekar","S Ravi"
1175362,"2019","Bengaluru","2019-03-28","League","JJ Bumrah","M.Chinnaswamy Stadium","Mumbai Indians","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Mumbai Indians","runs",6,188,20,"N",NA,"CK Nandan","S Ravi"
1175372,"2019","Bengaluru","2019-04-05","League","AD Russell","M.Chinnaswamy Stadium","Royal Challengers Bangalore","Kolkata Knight Riders","Kolkata Knight Riders","field","Kolkata Knight Riders","wickets",5,206,20,"N",NA,"AK Chaudhary","CB Gaffaney"
