"id","season","city","date","match_type","player_of_match","venue","team1","team2","toss_winner","toss_decision","winner","result","result_margin","target_runs","target_overs","super_over","method","umpire1","umpire2"
335983,"2007/08","Chandigarh","2008-04-19","League","MEK Hussey","Punjab Cricket Association Stadium, Mohali","Kings XI Punjab","Chennai Super Kings","Chennai Super Kings","bat","Chennai Super Kings","runs",33,241,20,"N",NA,"MR Benson","SL Shastri"
335991,"2007/08","Chandigarh","2008-04-25","League","KC Sangakkara","Punjab Cricket Association Stadium, Mohali","Kings XI Punjab","Mumbai Indians","Mumbai Indians","field","Kings XI Punjab","runs",66,183,20,"N",NA,"Aleem Dar","AM Saheba"
335995,"2007/08","Chandigarh","2008-04-27","League","SM Katich","Punjab Cricket Association Stadium, Mohali","Kings XI Punjab","Delhi Daredevils","Delhi Daredevils","bat","Kings XI Punjab","wickets",4,159,20,"N",NA,"RE Koertzen","I Shivram"
336003,"2007/08","Chandigarh","2008-05-03","League","IK Pathan","Punjab Cricket Association Stadium, Mohali","Kings XI Punjab","Kolkata Knight Riders","Kings XI Punjab","bat","Kings XI Punjab","runs",9,179,20,"N",NA,"DJ Harper","I Shivram"
336016,"2007/08","Chandigarh","2008-05-12","League","SE Marsh","Punjab Cricket Association Stadium, Mohali","Kings XI Punjab","Royal Challengers Bangalore","Royal Challengers Bangalore","bat","Kings XI Punjab","wickets",9,144,20,"N",NA,"BR Doctrove","I Shivram"
336031,"2007/08","Chandigarh","2008-05-23","League","SE Marsh","Punjab Cricket Association Stadium, Mohali","Kings XI Punjab","Deccan Chargers","Kings XI Punjab","field","Kings XI Punjab","wickets",6,176,20,"N",NA,"Asad Rauf","SJ Davis"
336019,"2007/08","Chandigarh","2008-05-28","League","SE Marsh","Punjab Cricket Association Stadium, Mohali","Kings XI Punjab","Rajasthan Royals","Rajasthan Royals","field","Kings XI Punjab","runs",41,222,20,"N",NA,"SJ Davis","K Hariharan"
419108,"2009/10","Chandigarh","2010-03-13","League","G Gambhir","Punjab Cricket Association Stadium, Mohali","Kings XI Punjab","Delhi Daredevils","Delhi Daredevils","field","Delhi Daredevils","wickets",5,143,20,"N",NA,"BR Doctrove","S Ravi"
419124,"2009/10","Chandigarh","2010-03-24","League","AC Voges","Punjab Cricket Association Stadium, Mohali","Kings XI Punjab","Rajasthan Royals","Kings XI Punjab","field","Rajasthan Royals","runs",31,184,20,"N",NA,"BR Doctrove","SK Tarapore"
419127,"2009/10","Chandigarh","2010-03-27","League","MK Tiwary","Punjab Cricket Association Stadium, Mohali","Kings XI Punjab","Kolkata Knight Riders","Kolkata Knight Riders","bat","Kolkata Knight Riders","runs",39,184,20,"N",NA,"BR Doctrove","S Ravi"
419136,"2009/10","Chandigarh","2010-04-02","League","KP Pietersen","Punjab Cricket Association Stadium, Mohali","Kings XI Punjab","Royal Challengers Bangalore","Kings XI Punjab","bat","Royal Challengers Bangalore","wickets",6,182,20,"N",NA,"BF Bowden","M Erasmus"
