"id","season","city","date","match_type","player_of_match","venue","team1","team2","toss_winner","toss_decision","winner","result","result_margin","target_runs","target_overs","super_over","method","umpire1","umpire2"
335989,"2007/08","Chennai","2008-04-23","League","ML Hayden","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Mumbai Indians","Mumbai Indians","field","Chennai Super Kings","runs",6,209,20,"N",NA,"DJ Harper","GA Pratapkumar"
335993,"2007/08","Chennai","2008-04-26","League","JDP Oram","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Kolkata Knight Riders","Kolkata Knight Riders","bat","Chennai Super Kings","wickets",9,148,20,"N",NA,"BF Bowden","AV Jayaprakash"
336001,"2007/08","Chennai","2008-05-02","League","V Sehwag","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Delhi Daredevils","Chennai Super Kings","bat","Delhi Daredevils","wickets",8,170,20,"N",NA,"BF Bowden","K Hariharan"
336007,"2007/08","Chennai","2008-05-06","League","AC Gilchrist","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Deccan Chargers","Deccan Chargers","field","Deccan Chargers","wickets",7,145,20,"N",NA,"MR Benson","RB Tiffin"
336013,"2007/08","Chennai","2008-05-10","League","L Balaji","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Kings XI Punjab","Kings XI Punjab","field","Chennai Super Kings","runs",18,182,20,"N",NA,"AV Jayaprakash","BG Jerling"
336029,"2007/08","Chennai","2008-05-21","League","A Kumble","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Royal Challengers Bangalore","Royal Challengers Bangalore","bat","Royal Challengers Bangalore","runs",14,127,20,"N",NA,"DJ Harper","I Shivram"
336033,"2007/08","Chennai","2008-05-24","League","JA Morkel","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","bat","Rajasthan Royals","runs",10,212,20,"N",NA,"DJ Harper","SL Shastri"
419110,"2009/10","Chennai","2010-03-14","League","WPUJC Vaas","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Deccan Chargers","Deccan Chargers","bat","Deccan Chargers","runs",31,191,20,"N",NA,"K Hariharan","DJ Harper"
419121,"2009/10","Chennai","2010-03-21","League","J Theron","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Kings XI Punjab","Chennai Super Kings","field","Kings XI Punjab","tie",NA,137,20,"Y",NA,"K Hariharan","DJ Harper"
419133,"2009/10","Chennai","2010-03-31","League","M Vijay","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Royal Challengers Bangalore","Royal Challengers Bangalore","bat","Chennai Super Kings","wickets",5,162,20,"N",NA,"BG Jerling","RE Koertzen"
419137,"2009/10","Chennai","2010-04-03","League","M Vijay","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Rajasthan Royals","Chennai Super Kings","bat","Chennai Super Kings","runs",23,247,20,"N",NA,"RE Koertzen","RB Tiffin"
419142,"2009/10","Chennai","2010-04-06","League","SK Raina","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Mumbai Indians","Chennai Super Kings","bat","Chennai Super Kings","runs",24,166,20,"N",NA,"S Asnani","DJ Harper"
419153,"2009/10","Chennai","2010-04-13","League","R Ashwin","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Kolkata Knight Riders","Kolkata Knight Riders","bat","Chennai Super Kings","wickets",9,140,20,"N",NA,"SS Hazare","SJA Taufel"
419155,"2009/10","Chennai","2010-04-15","League","G Gambhir","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Delhi Daredevils","Chennai Super Kings","bat","Delhi Daredevils","wickets",6,113,20,"N",NA,"HDPK Dharmasena","SS Hazare"
501198,"2011","Chennai","2011-04-08","League","S Anirudha","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Kolkata Knight Riders","Chennai Super Kings","bat","Chennai Super Kings","runs",2,154,20,"N",NA,"BR Doctrove","PR Reiffel"
501211,"2011","Chennai","2011-04-16","League","MEK Hussey","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Royal Challengers Bangalore","Chennai Super Kings","bat","Chennai Super Kings","runs",21,184,20,"N",NA,"HDPK Dharmasena","AL Hill"
501226,"2011","Chennai","2011-04-25","League","MEK Hussey","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Pune Warriors","Pune Warriors","field","Chennai Super Kings","runs",25,143,20,"N",NA,"Aleem Dar","RB Tiffin"
501236,"2011","Chennai","2011-05-01","League","JA Morkel","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Deccan Chargers","Chennai Super Kings","bat","Chennai Super Kings","runs",19,166,20,"N",NA,"Aleem Dar","RB Tiffin"
501240,"2011","Chennai","2011-05-04","League","MEK Hussey","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","bat","Chennai Super Kings","wickets",8,148,20,"N",NA,"SS Hazare","RB Tiffin"
501253,"2011","Chennai","2011-05-12","League","MS Dhoni","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Delhi Daredevils","Chennai Super Kings","bat","Chennai Super Kings","runs",18,177,20,"N",NA,"AM Saheba","SL Shastri"
501261,"2011","Chennai","2011-05-18","League","WP Saha","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Kochi Tuskers Kerala","Chennai Super Kings","bat","Chennai Super Kings","runs",11,153,20,"N",NA,"HDPK Dharmasena","RE Koertzen"
501270,"2011","Chennai","2011-05-27","Qualifier 2","CH Gayle","MA Chidambaram Stadium, Chepauk","Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians","field","Royal Challengers Bangalore","runs",43,186,20,"N",NA,"Asad Rauf","SJA Taufel"
501271,"2011","Chennai","2011-05-28","Final","M Vijay","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Royal Challengers Bangalore","Chennai Super Kings","bat","Chennai Super Kings","runs",58,206,20,"N",NA,"Asad Rauf","SJA Taufel"
548306,"2012","Chennai","2012-04-04","League","RE Levi","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Mumbai Indians","Mumbai Indians","field","Mumbai Indians","wickets",8,113,20,"N",NA,"JD Cloete","SJA Taufel"
548318,"2012","Chennai","2012-04-12","League","F du Plessis","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Royal Challengers Bangalore","Royal Challengers Bangalore","bat","Chennai Super Kings","wickets",5,206,20,"N",NA,"HDPK Dharmasena","RJ Tucker"
548330,"2012","Chennai","2012-04-19","League","KMDN Kulasekara","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Pune Warriors","Pune Warriors","field","Chennai Super Kings","runs",13,165,20,"N",NA,"Asad Rauf","S Das"
548332,"2012","Chennai","2012-04-21","League","F du Plessis","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","bat","Chennai Super Kings","wickets",7,147,20,"N",NA,"Aleem Dar","BNJ Oxenford"
548343,"2012","Chennai","2012-04-28","League","Mandeep Singh","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Kings XI Punjab","Kings XI Punjab","bat","Kings XI Punjab","runs",7,157,20,"N",NA,"BF Bowden","SK Tarapore"
548347,"2012","Chennai","2012-04-30","League","G Gambhir","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Kolkata Knight Riders","Chennai Super Kings","bat","Kolkata Knight Riders","wickets",5,140,20,"N",NA,"BF Bowden","C Shamshuddin"
548352,"2012","Chennai","2012-05-04","League","SK Raina","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Deccan Chargers","Chennai Super Kings","bat","Chennai Super Kings","runs",10,161,20,"N",NA,"HDPK Dharmasena","BNJ Oxenford"
548364,"2012","Chennai","2012-05-12","League","BW Hilfenhaus","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Delhi Daredevils","Chennai Super Kings","field","Chennai Super Kings","wickets",9,115,20,"N",NA,"S Das","BR Doctrove"
548380,"2012","Chennai","2012-05-25","Qualifier 2","M Vijay","MA Chidambaram Stadium, Chepauk","Delhi Daredevils","Chennai Super Kings","Delhi Daredevils","field","Chennai Super Kings","runs",86,223,20,"N",NA,"BR Doctrove","SJA Taufel"
548381,"2012","Chennai","2012-05-27","Final","MS Bisla","MA Chidambaram Stadium, Chepauk","Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings","bat","Kolkata Knight Riders","wickets",5,191,20,"N",NA,"BF Bowden","SJA Taufel"
598002,"2013","Chennai","2013-04-06","League","KA Pollard","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Mumbai Indians","Mumbai Indians","bat","Mumbai Indians","runs",9,149,20,"N",NA,"M Erasmus","VA Kulkarni"
598012,"2013","Chennai","2013-04-13","League","RA Jadeja","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Royal Challengers Bangalore","Chennai Super Kings","field","Chennai Super Kings","wickets",4,166,20,"N",NA,"Asad Rauf","AK Chaudhary"
598015,"2013","Chennai","2013-04-15","League","SPD Smith","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Pune Warriors","Pune Warriors","bat","Pune Warriors","runs",24,160,20,"N",NA,"Asad Rauf","AK Chaudhary"
598026,"2013","Chennai","2013-04-22","League","MEK Hussey","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","bat","Chennai Super Kings","wickets",5,186,20,"N",NA,"S Asnani","AK Chaudhary"
598030,"2013","Chennai","2013-04-25","League","MS Dhoni","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Sunrisers Hyderabad","Sunrisers Hyderabad","bat","Chennai Super Kings","wickets",5,160,20,"N",NA,"Aleem Dar","S Das"
598034,"2013","Chennai","2013-04-28","League","MEK Hussey","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Kolkata Knight Riders","Kolkata Knight Riders","field","Chennai Super Kings","runs",14,201,20,"N",NA,"Aleem Dar","SJA Taufel"
598041,"2013","Chennai","2013-05-02","League","SK Raina","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Kings XI Punjab","Chennai Super Kings","bat","Chennai Super Kings","runs",15,187,20,"N",NA,"M Erasmus","VA Kulkarni"
598062,"2013","Chennai","2013-05-14","League","MS Dhoni","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Delhi Daredevils","Chennai Super Kings","bat","Chennai Super Kings","runs",33,169,20,"N",NA,"C Shamshuddin","RJ Tucker"
829707,"2015","Chennai","2015-04-09","League","A Nehra","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Delhi Daredevils","Delhi Daredevils","field","Chennai Super Kings","runs",1,151,20,"N",NA,"RK Illingworth","VA Kulkarni"
829711,"2015","Chennai","2015-04-11","League","BB McCullum","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Sunrisers Hyderabad","Chennai Super Kings","bat","Chennai Super Kings","runs",45,210,20,"N",NA,"RK Illingworth","VA Kulkarni"
829753,"2015","Chennai","2015-04-25","League","BB McCullum","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Kings XI Punjab","Chennai Super Kings","bat","Chennai Super Kings","runs",97,193,20,"N",NA,"JD Cloete","C Shamshuddin"
829765,"2015","Chennai","2015-04-28","League","DJ Bravo","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Kolkata Knight Riders","Kolkata Knight Riders","field","Chennai Super Kings","runs",2,135,20,"N",NA,"RM Deshpande","VA Kulkarni"
829779,"2015","Chennai","2015-05-04","League","SK Raina","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Royal Challengers Bangalore","Chennai Super Kings","bat","Chennai Super Kings","runs",24,149,20,"N",NA,"C Shamshuddin","K Srinath"
829789,"2015","Chennai","2015-05-08","League","HH Pandya","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Mumbai Indians","Chennai Super Kings","bat","Mumbai Indians","wickets",6,159,20,"N",NA,"CB Gaffaney","CK Nandan"
829797,"2015","Chennai","2015-05-10","League","RA Jadeja","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","Rajasthan Royals","Chennai Super Kings","bat","Chennai Super Kings","runs",12,158,20,"N",NA,"M Erasmus","CK Nandan"
1136565,"2018","Chennai","2018-04-10","League","SW Billings","MA Chidambaram Stadium","Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings","field","Chennai Super Kings","wickets",5,203,20,"N",NA,"AK Chaudhary","CB Gaffaney"
1175356,"2019","Chennai","2019-03-23","League","Harbhajan Singh","MA Chidambaram Stadium","Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings","field","Chennai Super Kings","wickets",7,71,20,"N",NA,"AY Dandekar","BNJ Oxenford"
1175367,"2019","Chennai","2019-03-31","League","MS Dhoni","MA Chidambaram Stadium","Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","field","Chennai Super Kings","runs",8,176,20,"N",NA,"CK Nandan","YC Barde"
1178393,"2019","Chennai","2019-04-06","League","Harbhajan Singh","MA Chidambaram Stadium","Chennai Super Kings","Kings XI Punjab","Chennai Super Kings","bat","Chennai Super Kings","runs",22,161,20,"N",NA,"KN Ananthapadmanabhan","RJ Tucker"
1178398,"2019","Chennai","2019-04-09","League","DL Chahar","MA Chidambaram Stadium","Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings","field","Chennai Super Kings","wickets",7,109,20,"N",NA,"C Shamshuddin","RJ Tucker"
1178416,"2019","Chennai","2019-04-23","League","SR Watson","MA Chidambaram Stadium","Sunrisers Hyderabad","Chennai Super Kings","Chennai Super Kings","field","Chennai Super Kings","wickets",6,176,20,"N",NA,"AK Chaudhary","NJ Llong"
1178419,"2019","Chennai","2019-04-26","League","RG Sharma","MA Chidambaram Stadium","Mumbai Indians","Chennai Super Kings","Chennai Super Kings","field","Mumbai Indians","runs",46,156,20,"N",NA,"AK Chaudhary","NJ Llong"
1178425,"2019","Chennai","2019-05-01","League","MS Dhoni","MA Chidambaram Stadium","Chennai Super Kings","Delhi Capitals","Delhi Capitals","field","Chennai Super Kings","runs",80,180,20,"N",NA,"AY Dandekar","Nitin Menon"
1181764,"2019","Chennai","2019-05-07","Qualifier 1","SA Yadav","MA Chidambaram Stadium","Chennai Super Kings","Mumbai Indians","Chennai Super Kings","bat","Mumbai Indians","wickets",6,132,20,"N",NA,"NJ Llong","Nitin Menon"
1254058,"2021","Chennai","2021-04-09","League","HV Patel","MA Chidambaram Stadium, Chepauk, Chennai","Mumbai Indians","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Royal Challengers Bangalore","wickets",2,160,20,"N",NA,"KN Ananthapadmanabhan","Nitin Menon"
1254060,"2021","Chennai","2021-04-11","League","N Rana","MA Chidambaram Stadium, Chepauk, Chennai","Kolkata Knight Riders","Sunrisers Hyderabad","Sunrisers Hyderabad","field","Kolkata Knight Riders","runs",10,188,20,"N",NA,"KN Ananthapadmanabhan","Nitin Menon"
1254062,"2021","Chennai","2021-04-13","League","RD Chahar","MA Chidambaram Stadium, Chepauk, Chennai","Mumbai Indians","Kolkata Knight Riders","Kolkata Knight Riders","field","Mumbai Indians","runs",10,153,20,"N",NA,"C Shamshuddin","CB Gaffaney"
