"id","season","city","date","match_type","player_of_match","venue","team1","team2","toss_winner","toss_decision","winner","result","result_margin","target_runs","target_overs","super_over","method","umpire1","umpire2"
335984,"2007/08","Delhi","2008-04-19","League","MF Maharoof","Feroz Shah Kotla","Delhi Daredevils","Rajasthan Royals","Rajasthan Royals","bat","Delhi Daredevils","wickets",9,130,20,"N",NA,"Aleem Dar","GA Pratapkumar"
335998,"2007/08","Delhi","2008-04-30","League","GD McGrath","Feroz Shah Kotla","Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Delhi Daredevils","runs",10,192,20,"N",NA,"Aleem Dar","I Shivram"
336009,"2007/08","Delhi","2008-05-08","League","MS Dhoni","Feroz Shah Kotla","Delhi Daredevils","Chennai Super Kings","Chennai Super Kings","field","Chennai Super Kings","wickets",4,188,20,"N",NA,"Aleem Dar","RB Tiffin"
336020,"2007/08","Delhi","2008-05-15","League","A Mishra","Feroz Shah Kotla","Delhi Daredevils","Deccan Chargers","Deccan Chargers","field","Delhi Daredevils","runs",12,195,20,"N",NA,"BG Jerling","GA Pratapkumar"
336022,"2007/08","Delhi","2008-05-17","League","DPMD Jayawardene","Feroz Shah Kotla","Delhi Daredevils","Kings XI Punjab","Delhi Daredevils","bat","Kings XI Punjab","runs",6,89,8,"N","D/L","AV Jayaprakash","RE Koertzen"
336032,"2007/08","Delhi","2008-05-24","League","KD Karthik","Feroz Shah Kotla","Delhi Daredevils","Mumbai Indians","Delhi Daredevils","field","Delhi Daredevils","wickets",5,177,20,"N",NA,"BF Bowden","K Hariharan"
419114,"2009/10","Delhi","2010-03-17","League","SR Tendulkar","Feroz Shah Kotla","Delhi Daredevils","Mumbai Indians","Delhi Daredevils","field","Mumbai Indians","runs",98,219,20,"N",NA,"BR Doctrove","SK Tarapore"
419116,"2009/10","Delhi","2010-03-19","League","ML Hayden","Feroz Shah Kotla","Delhi Daredevils","Chennai Super Kings","Delhi Daredevils","bat","Chennai Super Kings","wickets",5,186,20,"N",NA,"BR Doctrove","SK Tarapore"
419131,"2009/10","Delhi","2010-03-29","League","DA Warner","Feroz Shah Kotla","Delhi Daredevils","Kolkata Knight Riders","Delhi Daredevils","bat","Delhi Daredevils","runs",40,178,20,"N",NA,"SS Hazare","SJA Taufel"
419134,"2009/10","Delhi","2010-03-31","League","KD Karthik","Feroz Shah Kotla","Delhi Daredevils","Rajasthan Royals","Delhi Daredevils","bat","Delhi Daredevils","runs",67,189,20,"N",NA,"HDPK Dharmasena","SJA Taufel"
419140,"2009/10","Delhi","2010-04-04","League","PD Collingwood","Feroz Shah Kotla","Delhi Daredevils","Royal Challengers Bangalore","Delhi Daredevils","bat","Delhi Daredevils","runs",37,185,20,"N",NA,"BF Bowden","M Erasmus"
419149,"2009/10","Delhi","2010-04-11","League","PP Chawla","Feroz Shah Kotla","Delhi Daredevils","Kings XI Punjab","Delhi Daredevils","bat","Kings XI Punjab","wickets",7,112,20,"N",NA,"BF Bowden","AM Saheba"
419160,"2009/10","Delhi","2010-04-18","League","A Symonds","Feroz Shah Kotla","Delhi Daredevils","Deccan Chargers","Deccan Chargers","bat","Deccan Chargers","runs",11,146,20,"N",NA,"BR Doctrove","SK Tarapore"
501201,"2011","Delhi","2011-04-10","League","SL Malinga","Feroz Shah Kotla","Delhi Daredevils","Mumbai Indians","Delhi Daredevils","bat","Mumbai Indians","wickets",8,96,20,"N",NA,"AM Saheba","RB Tiffin"
501216,"2011","Delhi","2011-04-19","League","S Sohal","Feroz Shah Kotla","Delhi Daredevils","Deccan Chargers","Deccan Chargers","bat","Deccan Chargers","runs",16,169,20,"N",NA,"PR Reiffel","RJ Tucker"
501223,"2011","Delhi","2011-04-23","League","DA Warner","Feroz Shah Kotla","Delhi Daredevils","Kings XI Punjab","Kings XI Punjab","field","Delhi Daredevils","runs",29,232,20,"N",NA,"S Asnani","RE Koertzen"
501227,"2011","Delhi","2011-04-26","League","V Kohli","Feroz Shah Kotla","Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Royal Challengers Bangalore","wickets",3,161,20,"N",NA,"S Asnani","RJ Tucker"
501230,"2011","Delhi","2011-04-28","League","MK Tiwary","Feroz Shah Kotla","Delhi Daredevils","Kolkata Knight Riders","Delhi Daredevils","field","Kolkata Knight Riders","runs",17,149,20,"N",NA,"PR Reiffel","RJ Tucker"
501238,"2011","Delhi","2011-05-02","League","P Parameswaran","Feroz Shah Kotla","Delhi Daredevils","Kochi Tuskers Kerala","Kochi Tuskers Kerala","field","Kochi Tuskers Kerala","wickets",7,141,20,"N",NA,"Asad Rauf","SL Shastri"
501265,"2011","Delhi","2011-05-21","League",NA,"Feroz Shah Kotla","Delhi Daredevils","Pune Warriors","Delhi Daredevils","bat",NA,"no result",NA,NA,NA,"N",NA,"SS Hazare","RJ Tucker"
548316,"2012","Delhi","2012-04-10","League","M Morkel","Feroz Shah Kotla","Delhi Daredevils","Chennai Super Kings","Delhi Daredevils","field","Delhi Daredevils","wickets",8,111,20,"N",NA,"Asad Rauf","SK Tarapore"
548321,"2012","Delhi","2012-04-19","League","KP Pietersen","Feroz Shah Kotla","Delhi Daredevils","Deccan Chargers","Deccan Chargers","bat","Delhi Daredevils","wickets",5,158,20,"N",NA,"BF Bowden","SK Tarapore"
548333,"2012","Delhi","2012-04-21","League","SC Ganguly","Feroz Shah Kotla","Delhi Daredevils","Pune Warriors","Delhi Daredevils","field","Pune Warriors","runs",20,193,20,"N",NA,"Asad Rauf","S Das"
548342,"2012","Delhi","2012-04-27","League","V Sehwag","Feroz Shah Kotla","Delhi Daredevils","Mumbai Indians","Mumbai Indians","field","Delhi Daredevils","runs",37,208,20,"N",NA,"Aleem Dar","BNJ Oxenford"
548345,"2012","Delhi","2012-04-29","League","V Sehwag","Feroz Shah Kotla","Delhi Daredevils","Rajasthan Royals","Delhi Daredevils","bat","Delhi Daredevils","runs",1,153,20,"N",NA,"S Ravi","RJ Tucker"
548357,"2012","Delhi","2012-05-07","League","JH Kallis","Feroz Shah Kotla","Delhi Daredevils","Kolkata Knight Riders","Delhi Daredevils","bat","Kolkata Knight Riders","wickets",6,154,20,"N",NA,"JD Cloete","S Ravi"
548369,"2012","Delhi","2012-05-15","League","UT Yadav","Feroz Shah Kotla","Delhi Daredevils","Kings XI Punjab","Kings XI Punjab","bat","Delhi Daredevils","wickets",5,137,20,"N",NA,"HDPK Dharmasena","BNJ Oxenford"
548372,"2012","Delhi","2012-05-17","League","CH Gayle","Feroz Shah Kotla","Delhi Daredevils","Royal Challengers Bangalore","Delhi Daredevils","field","Royal Challengers Bangalore","runs",21,216,20,"N",NA,"HDPK Dharmasena","C Shamshuddin"
598001,"2013","Delhi","2013-04-06","League","R Dravid","Feroz Shah Kotla","Delhi Daredevils","Rajasthan Royals","Rajasthan Royals","bat","Rajasthan Royals","runs",5,166,20,"N",NA,"S Das","C Shamshuddin"
598010,"2013","Delhi","2013-04-12","League","A Mishra","Feroz Shah Kotla","Delhi Daredevils","Sunrisers Hyderabad","Delhi Daredevils","bat","Sunrisers Hyderabad","wickets",3,115,20,"N",NA,"Aleem Dar","Subroto Das"
598020,"2013","Delhi","2013-04-18","League","MEK Hussey","Feroz Shah Kotla","Delhi Daredevils","Chennai Super Kings","Chennai Super Kings","bat","Chennai Super Kings","runs",86,170,20,"N",NA,"M Erasmus","VA Kulkarni"
598024,"2013","Delhi","2013-04-21","League","V Sehwag","Feroz Shah Kotla","Delhi Daredevils","Mumbai Indians","Mumbai Indians","bat","Delhi Daredevils","wickets",9,162,20,"N",NA,"HDPK Dharmasena","S Ravi"
598059,"2013","Delhi","2013-04-23","League","Harmeet Singh","Feroz Shah Kotla","Delhi Daredevils","Kings XI Punjab","Kings XI Punjab","field","Kings XI Punjab","wickets",5,121,20,"N",NA,"VA Kulkarni","K Srinath"
598054,"2013","Delhi","2013-05-10","League","JD Unadkat","Feroz Shah Kotla","Delhi Daredevils","Royal Challengers Bangalore","Delhi Daredevils","field","Royal Challengers Bangalore","runs",4,184,20,"N",NA,"NJ Llong","K Srinath"
598070,"2013","Delhi","2013-05-21","Qualifier 1","MEK Hussey","Feroz Shah Kotla","Chennai Super Kings","Mumbai Indians","Chennai Super Kings","bat","Chennai Super Kings","runs",48,193,20,"N",NA,"NJ Llong","RJ Tucker"
598071,"2013","Delhi","2013-05-22","Eliminator","BJ Hodge","Feroz Shah Kotla","Rajasthan Royals","Sunrisers Hyderabad","Sunrisers Hyderabad","bat","Rajasthan Royals","wickets",4,133,20,"N",NA,"S Ravi","RJ Tucker"
733975,"2014","Delhi","2014-05-03","League","KK Nair","Feroz Shah Kotla","Delhi Daredevils","Rajasthan Royals","Rajasthan Royals","field","Rajasthan Royals","wickets",7,153,20,"N",NA,"SS Hazare","S Ravi"
733981,"2014","Delhi","2014-05-05","League","DR Smith","Feroz Shah Kotla","Delhi Daredevils","Chennai Super Kings","Chennai Super Kings","field","Chennai Super Kings","wickets",8,179,20,"N",NA,"RM Deshpande","BNJ Oxenford"
733985,"2014","Delhi","2014-05-07","League","G Gambhir","Feroz Shah Kotla","Delhi Daredevils","Kolkata Knight Riders","Delhi Daredevils","bat","Kolkata Knight Riders","wickets",8,161,20,"N",NA,"BNJ Oxenford","C Shamshuddin"
733993,"2014","Delhi","2014-05-10","League","DW Steyn","Feroz Shah Kotla","Delhi Daredevils","Sunrisers Hyderabad","Sunrisers Hyderabad","field","Sunrisers Hyderabad","wickets",8,43,5,"N","D/L","RM Deshpande","BNJ Oxenford"
734019,"2014","Delhi","2014-05-19","League","AR Patel","Feroz Shah Kotla","Delhi Daredevils","Kings XI Punjab","Kings XI Punjab","field","Kings XI Punjab","wickets",4,165,20,"N",NA,"HDPK Dharmasena","PG Pathak"
829715,"2015","Delhi","2015-04-12","League","DJ Hooda","Feroz Shah Kotla","Delhi Daredevils","Rajasthan Royals","Rajasthan Royals","field","Rajasthan Royals","wickets",3,185,20,"N",NA,"SD Fry","CB Gaffaney"
