"id","season","city","date","match_type","player_of_match","venue","team1","team2","toss_winner","toss_decision","winner","result","result_margin","target_runs","target_overs","super_over","method","umpire1","umpire2"
335988,"2007/08","Hyderabad","2008-04-22","League","V Sehwag","Rajiv Gandhi International Stadium, Uppal","Deccan Chargers","Delhi Daredevils","Deccan Chargers","bat","Delhi Daredevils","wickets",9,143,20,"N",NA,"IL Howell","AM Saheba"
335990,"2007/08","Hyderabad","2008-04-24","League","YK Pathan","Rajiv Gandhi International Stadium, Uppal","Deccan Chargers","Rajasthan Royals","Rajasthan Royals","field","Rajasthan Royals","wickets",3,215,20,"N",NA,"Asad Rauf","MR Benson"
335999,"2007/08","Hyderabad","2008-05-01","League","SE Marsh","Rajiv Gandhi International Stadium, Uppal","Deccan Chargers","Kings XI Punjab","Kings XI Punjab","field","Kings XI Punjab","wickets",7,165,20,"N",NA,"BR Doctrove","RB Tiffin"
336014,"2007/08","Hyderabad","2008-05-11","League","SC Ganguly","Rajiv Gandhi International Stadium, Uppal","Deccan Chargers","Kolkata Knight Riders","Kolkata Knight Riders","bat","Kolkata Knight Riders","runs",23,205,20,"N",NA,"IL Howell","AM Saheba"
336024,"2007/08","Hyderabad","2008-05-18","League","DJ Bravo","Rajiv Gandhi International Stadium, Uppal","Deccan Chargers","Mumbai Indians","Deccan Chargers","field","Mumbai Indians","runs",25,179,20,"N",NA,"BR Doctrove","DJ Harper"
336002,"2007/08","Hyderabad","2008-05-25","League","R Vinay Kumar","Rajiv Gandhi International Stadium, Uppal","Deccan Chargers","Royal Challengers Bangalore","Deccan Chargers","bat","Royal Challengers Bangalore","wickets",5,166,20,"N",NA,"Asad Rauf","RE Koertzen"
336037,"2007/08","Hyderabad","2008-05-27","League","SK Raina","Rajiv Gandhi International Stadium, Uppal","Deccan Chargers","Chennai Super Kings","Deccan Chargers","bat","Chennai Super Kings","wickets",7,148,20,"N",NA,"BG Jerling","AM Saheba"
501199,"2011","Hyderabad","2011-04-09","League","SK Trivedi","Rajiv Gandhi International Stadium, Uppal","Deccan Chargers","Rajasthan Royals","Rajasthan Royals","field","Rajasthan Royals","wickets",8,138,20,"N",NA,"RE Koertzen","SK Tarapore"
501208,"2011","Hyderabad","2011-04-14","League","DW Steyn","Rajiv Gandhi International Stadium, Uppal","Deccan Chargers","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Deccan Chargers","runs",33,176,20,"N",NA,"RE Koertzen","S Ravi"
501212,"2011","Hyderabad","2011-04-16","League","PC Valthaty","Rajiv Gandhi International Stadium, Uppal","Deccan Chargers","Kings XI Punjab","Kings XI Punjab","field","Kings XI Punjab","wickets",8,166,20,"N",NA,"RE Koertzen","S Ravi"
501224,"2011","Hyderabad","2011-04-24","League","SL Malinga","Rajiv Gandhi International Stadium, Uppal","Deccan Chargers","Mumbai Indians","Deccan Chargers","field","Mumbai Indians","runs",37,173,20,"N",NA,"HDPK Dharmasena","AL Hill"
501239,"2011","Hyderabad","2011-05-03","League","YK Pathan","Rajiv Gandhi International Stadium, Uppal","Deccan Chargers","Kolkata Knight Riders","Deccan Chargers","field","Kolkata Knight Riders","runs",20,170,20,"N",NA,"S Asnani","RJ Tucker"
501243,"2011","Hyderabad","2011-05-05","League","V Sehwag","Rajiv Gandhi International Stadium, Uppal","Deccan Chargers","Delhi Daredevils","Delhi Daredevils","field","Delhi Daredevils","wickets",4,176,20,"N",NA,"Asad Rauf","AM Saheba"
501250,"2011","Hyderabad","2011-05-10","League","MR Marsh","Rajiv Gandhi International Stadium, Uppal","Deccan Chargers","Pune Warriors","Deccan Chargers","bat","Pune Warriors","wickets",6,137,20,"N",NA,"Asad Rauf","AM Saheba"
548359,"2012","Hyderabad","2012-05-08","League","Mandeep Singh","Rajiv Gandhi International Stadium, Uppal","Deccan Chargers","Kings XI Punjab","Deccan Chargers","field","Kings XI Punjab","runs",25,171,20,"N",NA,"HDPK Dharmasena","BNJ Oxenford"
548329,"2012","Hyderabad","2012-05-10","League","DA Warner","Rajiv Gandhi International Stadium, Uppal","Deccan Chargers","Delhi Daredevils","Deccan Chargers","bat","Delhi Daredevils","wickets",9,188,20,"N",NA,"JD Cloete","SJA Taufel"
548373,"2012","Hyderabad","2012-05-18","League","DW Steyn","Rajiv Gandhi International Stadium, Uppal","Deccan Chargers","Rajasthan Royals","Rajasthan Royals","bat","Deccan Chargers","wickets",5,127,20,"N",NA,"S Ravi","SJA Taufel"
548376,"2012","Hyderabad","2012-05-20","League","DW Steyn","Rajiv Gandhi International Stadium, Uppal","Deccan Chargers","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Deccan Chargers","runs",9,133,20,"N",NA,"S Ravi","SJA Taufel"
598000,"2013","Hyderabad","2013-04-05","League","A Mishra","Rajiv Gandhi International Stadium, Uppal","Sunrisers Hyderabad","Pune Warriors","Pune Warriors","field","Sunrisers Hyderabad","runs",22,127,20,"N",NA,"S Ravi","SJA Taufel"
598004,"2013","Hyderabad","2013-04-07","League","GH Vihari","Rajiv Gandhi International Stadium, Uppal","Sunrisers Hyderabad","Royal Challengers Bangalore","Royal Challengers Bangalore","bat","Sunrisers Hyderabad","tie",NA,131,20,"Y",NA,"AK Chaudhary","S Ravi"
598021,"2013","Hyderabad","2013-04-19","League","GH Vihari","Rajiv Gandhi International Stadium, Uppal","Sunrisers Hyderabad","Kings XI Punjab","Kings XI Punjab","bat","Sunrisers Hyderabad","wickets",5,124,20,"N",NA,"HDPK Dharmasena","CK Nandan"
598039,"2013","Hyderabad","2013-05-01","League","I Sharma","Rajiv Gandhi International Stadium, Uppal","Sunrisers Hyderabad","Mumbai Indians","Mumbai Indians","bat","Sunrisers Hyderabad","wickets",7,130,20,"N",NA,"Asad Rauf","S Asnani"
