"id","season","city","date","match_type","player_of_match","venue","team1","team2","toss_winner","toss_decision","winner","result","result_margin","target_runs","target_overs","super_over","method","umpire1","umpire2"
335987,"2007/08","Jaipur","2008-04-21","League","SR Watson","Sawai Mansingh Stadium","Rajasthan Royals","Kings XI Punjab","Kings XI Punjab","bat","Rajasthan Royals","wickets",6,167,20,"N",NA,"Aleem Dar","RB Tiffin"
336000,"2007/08","Jaipur","2008-05-01","League","SA Asnodkar","Sawai Mansingh Stadium","Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals","bat","Rajasthan Royals","runs",45,197,20,"N",NA,"RE Koertzen","GA Pratapkumar"
336005,"2007/08","Jaipur","2008-05-04","League","Sohail Tanvir","Sawai Mansingh Stadium","Rajasthan Royals","Chennai Super Kings","Chennai Super Kings","bat","Rajasthan Royals","wickets",8,110,20,"N",NA,"Asad Rauf","AV Jayaprakash"
336011,"2007/08","Jaipur","2008-05-09","League","YK Pathan","Sawai Mansingh Stadium","Rajasthan Royals","Deccan Chargers","Rajasthan Royals","field","Rajasthan Royals","wickets",8,141,20,"N",NA,"MR Benson","AM Saheba"
336015,"2007/08","Jaipur","2008-05-11","League","SR Watson","Sawai Mansingh Stadium","Rajasthan Royals","Delhi Daredevils","Rajasthan Royals","field","Rajasthan Royals","wickets",3,157,20,"N",NA,"SJ Davis","RE Koertzen"
336023,"2007/08","Jaipur","2008-05-17","League","GC Smith","Sawai Mansingh Stadium","Rajasthan Royals","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Rajasthan Royals","runs",65,198,20,"N",NA,"BF Bowden","SL Shastri"
336036,"2007/08","Jaipur","2008-05-26","League","Sohail Tanvir","Sawai Mansingh Stadium","Rajasthan Royals","Mumbai Indians","Rajasthan Royals","field","Rajasthan Royals","wickets",5,146,20,"N",NA,"BF Bowden","K Hariharan"
419143,"2009/10","Jaipur","2010-04-07","League","MJ Lumb","Sawai Mansingh Stadium","Rajasthan Royals","Kings XI Punjab","Kings XI Punjab","bat","Rajasthan Royals","wickets",9,154,20,"N",NA,"S Ravi","SK Tarapore"
419150,"2009/10","Jaipur","2010-04-11","League","SR Tendulkar","Sawai Mansingh Stadium","Rajasthan Royals","Mumbai Indians","Rajasthan Royals","field","Mumbai Indians","runs",37,175,20,"N",NA,"BR Doctrove","SK Tarapore"
419154,"2009/10","Jaipur","2010-04-14","League","KP Pietersen","Sawai Mansingh Stadium","Rajasthan Royals","Royal Challengers Bangalore","Rajasthan Royals","bat","Royal Challengers Bangalore","wickets",5,131,20,"N",NA,"BR Doctrove","S Ravi"
501204,"2011","Jaipur","2011-04-12","League","SK Warne","Sawai Mansingh Stadium","Rajasthan Royals","Delhi Daredevils","Delhi Daredevils","bat","Rajasthan Royals","wickets",6,152,20,"N",NA,"Aleem Dar","RB Tiffin"
501209,"2011","Jaipur","2011-04-15","League","G Gambhir","Sawai Mansingh Stadium","Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","field","Kolkata Knight Riders","wickets",9,160,20,"N",NA,"Aleem Dar","SS Hazare"
501225,"2011","Jaipur","2011-04-24","League","SK Warne","Sawai Mansingh Stadium","Rajasthan Royals","Kochi Tuskers Kerala","Rajasthan Royals","field","Rajasthan Royals","wickets",8,110,20,"N",NA,"BR Doctrove","SK Tarapore"
501231,"2011","Jaipur","2011-04-29","League","J Botha","Sawai Mansingh Stadium","Rajasthan Royals","Mumbai Indians","Rajasthan Royals","field","Rajasthan Royals","wickets",7,95,20,"N",NA,"Asad Rauf","SK Tarapore"
501235,"2011","Jaipur","2011-05-01","League","LRPL Taylor","Sawai Mansingh Stadium","Rajasthan Royals","Pune Warriors","Rajasthan Royals","field","Rajasthan Royals","wickets",6,144,20,"N",NA,"SK Tarapore","SJA Taufel"
501249,"2011","Jaipur","2011-05-09","League","M Vijay","Sawai Mansingh Stadium","Rajasthan Royals","Chennai Super Kings","Rajasthan Royals","field","Chennai Super Kings","runs",63,197,20,"N",NA,"K Hariharan","SJA Taufel"
501252,"2011","Jaipur","2011-05-11","League","S Aravind","Sawai Mansingh Stadium","Rajasthan Royals","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Royal Challengers Bangalore","wickets",9,147,20,"N",NA,"HDPK Dharmasena","K Hariharan"
548309,"2012","Jaipur","2012-04-06","League","AM Rahane","Sawai Mansingh Stadium","Rajasthan Royals","Kings XI Punjab","Kings XI Punjab","field","Rajasthan Royals","runs",31,192,20,"N",NA,"BF Bowden","SK Tarapore"
548312,"2012","Jaipur","2012-04-08","League","BJ Hodge","Sawai Mansingh Stadium","Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","field","Rajasthan Royals","runs",22,165,20,"N",NA,"BF Bowden","VA Kulkarni"
548326,"2012","Jaipur","2012-04-17","League","BJ Hodge","Sawai Mansingh Stadium","Rajasthan Royals","Deccan Chargers","Deccan Chargers","bat","Rajasthan Royals","wickets",5,197,20,"N",NA,"Aleem Dar","BNJ Oxenford"
548336,"2012","Jaipur","2012-04-23","League","AB de Villiers","Sawai Mansingh Stadium","Rajasthan Royals","Royal Challengers Bangalore","Rajasthan Royals","field","Royal Challengers Bangalore","runs",46,190,20,"N",NA,"Asad Rauf","S Asnani"
548349,"2012","Jaipur","2012-05-01","League","P Negi","Sawai Mansingh Stadium","Rajasthan Royals","Delhi Daredevils","Rajasthan Royals","bat","Delhi Daredevils","wickets",6,142,20,"N",NA,"JD Cloete","SJA Taufel"
548361,"2012","Jaipur","2012-05-10","League","BW Hilfenhaus","Sawai Mansingh Stadium","Rajasthan Royals","Chennai Super Kings","Chennai Super Kings","field","Chennai Super Kings","wickets",4,127,20,"N",NA,"BNJ Oxenford","C Shamshuddin"
548365,"2012","Jaipur","2012-05-13","League","A Chandila","Sawai Mansingh Stadium","Rajasthan Royals","Pune Warriors","Rajasthan Royals","bat","Rajasthan Royals","runs",45,171,20,"N",NA,"BF Bowden","SK Tarapore"
548377,"2012","Jaipur","2012-05-20","League","DR Smith","Sawai Mansingh Stadium","Rajasthan Royals","Mumbai Indians","Rajasthan Royals","bat","Mumbai Indians","wickets",10,163,20,"N",NA,"HDPK Dharmasena","C Shamshuddin"
598005,"2013","Jaipur","2013-04-08","League","SK Trivedi","Sawai Mansingh Stadium","Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","field","Rajasthan Royals","runs",19,145,20,"N",NA,"Aleem Dar","S Das"
598014,"2013","Jaipur","2013-04-14","League","JP Faulkner","Sawai Mansingh Stadium","Rajasthan Royals","Kings XI Punjab","Rajasthan Royals","field","Rajasthan Royals","wickets",6,125,20,"N",NA,"Aleem Dar","C Shamshuddin"
598019,"2013","Jaipur","2013-04-17","League","AM Rahane","Sawai Mansingh Stadium","Rajasthan Royals","Mumbai Indians","Rajasthan Royals","bat","Rajasthan Royals","runs",87,180,20,"N",NA,"Aleem Dar","C Shamshuddin"
598032,"2013","Jaipur","2013-04-27","League","JP Faulkner","Sawai Mansingh Stadium","Rajasthan Royals","Sunrisers Hyderabad","Sunrisers Hyderabad","bat","Rajasthan Royals","wickets",8,145,20,"N",NA,"VA Kulkarni","K Srinath"
