"id","season","city","date","match_type","player_of_match","venue","team1","team2","toss_winner","toss_decision","winner","result","result_margin","target_runs","target_overs","super_over","method","umpire1","umpire2"
335986,"2007/08","Kolkata","2008-04-20","League","DJ Hussey","Eden Gardens","Kolkata Knight Riders","Deccan Chargers","Deccan Chargers","bat","Kolkata Knight Riders","wickets",5,111,20,"N",NA,"BF Bowden","K Hariharan"
335997,"2007/08","Kolkata","2008-04-29","League","ST Jayasuriya","Eden Gardens","Kolkata Knight Riders","Mumbai Indians","Kolkata Knight Riders","bat","Mumbai Indians","wickets",7,138,20,"N",NA,"BF Bowden","AV Jayaprakash"
336010,"2007/08","Kolkata","2008-05-08","League","SC Ganguly","Eden Gardens","Kolkata Knight Riders","Royal Challengers Bangalore","Kolkata Knight Riders","bat","Kolkata Knight Riders","runs",5,130,16,"N",NA,"Asad Rauf","IL Howell"
336017,"2007/08","Kolkata","2008-05-13","League","Shoaib Akhtar","Eden Gardens","Kolkata Knight Riders","Delhi Daredevils","Kolkata Knight Riders","bat","Kolkata Knight Riders","runs",23,134,20,"N",NA,"Asad Rauf","IL Howell"
336025,"2007/08","Kolkata","2008-05-18","League","M Ntini","Eden Gardens","Kolkata Knight Riders","Chennai Super Kings","Kolkata Knight Riders","bat","Chennai Super Kings","runs",3,53,8,"N","D/L","Asad Rauf","K Hariharan"
336027,"2007/08","Kolkata","2008-05-20","League","YK Pathan","Eden Gardens","Kolkata Knight Riders","Rajasthan Royals","Rajasthan Royals","field","Rajasthan Royals","wickets",6,148,20,"N",NA,"BG Jerling","RE Koertzen"
336035,"2007/08","Kolkata","2008-05-25","League","Umar Gul","Eden Gardens","Kolkata Knight Riders","Kings XI Punjab","Kings XI Punjab","bat","Kolkata Knight Riders","wickets",3,175,20,"N",NA,"SJ Davis","I Shivram"
419109,"2009/10","Kolkata","2010-03-14","League","MK Tiwary","Eden Gardens","Kolkata Knight Riders","Royal Challengers Bangalore","Kolkata Knight Riders","field","Kolkata Knight Riders","wickets",7,136,20,"N",NA,"HDPK Dharmasena","AM Saheba"
419113,"2009/10","Kolkata","2010-03-16","League","MS Dhoni","Eden Gardens","Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings","bat","Chennai Super Kings","runs",55,165,20,"N",NA,"HDPK Dharmasena","AM Saheba"
419135,"2009/10","Kolkata","2010-04-01","League","SC Ganguly","Eden Gardens","Kolkata Knight Riders","Deccan Chargers","Kolkata Knight Riders","bat","Kolkata Knight Riders","runs",24,182,20,"N",NA,"K Hariharan","DJ Harper"
419139,"2009/10","Kolkata","2010-04-04","League","DPMD Jayawardene","Eden Gardens","Kolkata Knight Riders","Kings XI Punjab","Kolkata Knight Riders","bat","Kings XI Punjab","wickets",8,201,20,"N",NA,"S Asnani","DJ Harper"
419144,"2009/10","Kolkata","2010-04-07","League","SC Ganguly","Eden Gardens","Kolkata Knight Riders","Delhi Daredevils","Kolkata Knight Riders","bat","Kolkata Knight Riders","runs",14,182,20,"N",NA,"BG Jerling","RE Koertzen"
419158,"2009/10","Kolkata","2010-04-17","League","JD Unadkat","Eden Gardens","Kolkata Knight Riders","Rajasthan Royals","Rajasthan Royals","bat","Kolkata Knight Riders","wickets",8,133,20,"N",NA,"BG Jerling","RB Tiffin"
419161,"2009/10","Kolkata","2010-04-19","League","M Kartik","Eden Gardens","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","bat","Kolkata Knight Riders","wickets",9,134,20,"N",NA,"BG Jerling","RE Koertzen"
501203,"2011","Kolkata","2011-04-11","League","JH Kallis","Eden Gardens","Kolkata Knight Riders","Deccan Chargers","Kolkata Knight Riders","bat","Kolkata Knight Riders","runs",9,164,20,"N",NA,"RE Koertzen","SK Tarapore"
501214,"2011","Kolkata","2011-04-17","League","L Balaji","Eden Gardens","Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders","field","Kolkata Knight Riders","wickets",8,82,20,"N",NA,"Aleem Dar","RB Tiffin"
501219,"2011","Kolkata","2011-04-20","League","DPMD Jayawardene","Eden Gardens","Kolkata Knight Riders","Kochi Tuskers Kerala","Kolkata Knight Riders","field","Kochi Tuskers Kerala","runs",6,133,20,"N",NA,"Aleem Dar","RB Tiffin"
501222,"2011","Kolkata","2011-04-22","League","CH Gayle","Eden Gardens","Kolkata Knight Riders","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Royal Challengers Bangalore","wickets",9,172,20,"N",NA,"SS Hazare","RB Tiffin"
501234,"2011","Kolkata","2011-04-30","League","Iqbal Abdulla","Eden Gardens","Kolkata Knight Riders","Kings XI Punjab","Kolkata Knight Riders","field","Kolkata Knight Riders","wickets",8,120,20,"N",NA,"AM Saheba","SL Shastri"
501245,"2011","Kolkata","2011-05-07","League","Iqbal Abdulla","Eden Gardens","Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings","bat","Kolkata Knight Riders","runs",10,52,10,"N","D/L","Asad Rauf","PR Reiffel"
501267,"2011","Kolkata","2011-05-22","League","JEC Franklin","Eden Gardens","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","field","Mumbai Indians","wickets",5,176,20,"N",NA,"SK Tarapore","SJA Taufel"
548307,"2012","Kolkata","2012-04-05","League","IK Pathan","Eden Gardens","Kolkata Knight Riders","Delhi Daredevils","Delhi Daredevils","field","Delhi Daredevils","wickets",8,98,12,"N",NA,"S Asnani","HDPK Dharmasena"
