"id","season","city","date","match_type","player_of_match","venue","team1","team2","toss_winner","toss_decision","winner","result","result_margin","target_runs","target_overs","super_over","method","umpire1","umpire2"
1359477,"2023","Lucknow","2023-04-01","League","MA Wood","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Lucknow Super Giants","Delhi Capitals","Delhi Capitals","field","Lucknow Super Giants","runs",50,194,20,"N",NA,"AK Chaudhary","NA Patwardhan"
1359484,"2023","Lucknow","2023-04-07","League","KH Pandya","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Sunrisers Hyderabad","Lucknow Super Giants","Sunrisers Hyderabad","bat","Lucknow Super Giants","wickets",5,122,20,"N",NA,"J Madanagopal","YC Barde"
1359495,"2023","Lucknow","2023-04-15","League","Sikandar Raza","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Lucknow Super Giants","Punjab Kings","Punjab Kings","field","Punjab Kings","wickets",2,160,20,"N",NA,"HAS Khalid","VK Sharma"
1359504,"2023","Lucknow","2023-04-22","League","MM Sharma","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Gujarat Titans","Lucknow Super Giants","Gujarat Titans","bat","Gujarat Titans","runs",7,136,20,"N",NA,"A Totre","RJ Tucker"
1359517,"2023","Lucknow","2023-05-01","League","F du Plessis","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Royal Challengers Bangalore","Lucknow Super Giants","Royal Challengers Bangalore","bat","Royal Challengers Bangalore","runs",18,127,20,"N",NA,"AK Chaudhary","GR Sadashiv Iyer"
1359519,"2023","Lucknow","2023-05-03","League",NA,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Lucknow Super Giants","Chennai Super Kings","Chennai Super Kings","field",NA,"no result",NA,NA,NA,"N",NA,"AK Chaudhary","NA Patwardhan"
1359537,"2023","Lucknow","2023-05-16","League","MP Stoinis","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Lucknow Super Giants","Mumbai Indians","Mumbai Indians","field","Lucknow Super Giants","runs",5,178,20,"N",NA,"AK Chaudhary","A Nand Kishore"
1422129,"2024","Lucknow","2024-03-30","League","MP Yadav","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Lucknow Super Giants","Punjab Kings","Lucknow Super Giants","bat","Lucknow Super Giants","runs",21,200,20,"N",NA,"J Madanagopal","Navdeep Singh"
1422139,"2024","Lucknow","2024-04-07","League","Yash Thakur","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Lucknow Super Giants","Gujarat Titans","Lucknow Super Giants","bat","Lucknow Super Giants","runs",33,164,20,"N",NA,"A Nand Kishore","VK Sharma"
1426264,"2024","Lucknow","2024-04-12","League","Kuldeep Yadav","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Lucknow Super Giants","Delhi Capitals","Lucknow Super Giants","bat","Delhi Capitals","wickets",6,168,20,"N",NA,"R Pandit","YC Barde"
1426272,"2024","Lucknow","2024-04-19","League","KL Rahul","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Chennai Super Kings","Lucknow Super Giants","Lucknow Super Giants","field","Lucknow Super Giants","wickets",8,177,20,"N",NA,"AK Chaudhary","R Pandit"
1426282,"2024","Lucknow","2024-04-27","League","SV Samson","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Lucknow Super Giants","Rajasthan Royals","Rajasthan Royals","field","Rajasthan Royals","wickets",7,197,20,"N",NA,"KN Ananthapadmanabhan","MA Gough"
1426286,"2024","Lucknow","2024-04-30","League","MP Stoinis","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Mumbai Indians","Lucknow Super Giants","Lucknow Super Giants","field","Lucknow Super Giants","wickets",4,145,20,"N",NA,"MA Gough","UV Gandhe"
1426292,"2024","Lucknow","2024-05-05","League","SP Narine","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Kolkata Knight Riders","Lucknow Super Giants","Lucknow Super Giants","field","Kolkata Knight Riders","runs",98,236,20,"N",NA,"MV Saidharshan Kumar","YC Barde"
