"id","season","city","date","match_type","player_of_match","venue","team1","team2","toss_winner","toss_decision","winner","result","result_margin","target_runs","target_overs","super_over","method","umpire1","umpire2"
335985,"2007/08","Mumbai","2008-04-20","League","MV Boucher","Wankhede Stadium","Mumbai Indians","Royal Challengers Bangalore","Mumbai Indians","bat","Royal Challengers Bangalore","wickets",5,166,20,"N",NA,"SJ Davis","DJ Harper"
335994,"2007/08","Mumbai","2008-04-27","League","AC Gilchrist","Dr DY Patil Sports Academy","Mumbai Indians","Deccan Chargers","Deccan Chargers","field","Deccan Chargers","wickets",10,155,20,"N",NA,"Asad Rauf","SL Shastri"
336004,"2007/08","Mumbai","2008-05-04","League","SM Pollock","Dr DY Patil Sports Academy","Mumbai Indians","Delhi Daredevils","Delhi Daredevils","field","Mumbai Indians","runs",29,163,20,"N",NA,"IL Howell","RE Koertzen"
336008,"2007/08","Mumbai","2008-05-07","League","A Nehra","Dr DY Patil Sports Academy","Mumbai Indians","Rajasthan Royals","Mumbai Indians","field","Mumbai Indians","wickets",7,104,20,"N",NA,"DJ Harper","RE Koertzen"
336018,"2007/08","Mumbai","2008-05-14","League","ST Jayasuriya","Wankhede Stadium","Mumbai Indians","Chennai Super Kings","Mumbai Indians","field","Mumbai Indians","wickets",9,157,20,"N",NA,"BR Doctrove","AM Saheba"
336021,"2007/08","Mumbai","2008-05-16","League","SM Pollock","Wankhede Stadium","Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","field","Mumbai Indians","wickets",8,68,20,"N",NA,"BR Doctrove","DJ Harper"
336028,"2007/08","Mumbai","2008-05-21","League","SE Marsh","Wankhede Stadium","Mumbai Indians","Kings XI Punjab","Mumbai Indians","field","Kings XI Punjab","runs",1,190,20,"N",NA,"BF Bowden","GA Pratapkumar"
336038,"2007/08","Mumbai","2008-05-30","Semi Final","SR Watson","Wankhede Stadium","Delhi Daredevils","Rajasthan Royals","Delhi Daredevils","field","Rajasthan Royals","runs",105,193,20,"N",NA,"BF Bowden","RE Koertzen"
336039,"2007/08","Mumbai","2008-05-31","Semi Final","M Ntini","Wankhede Stadium","Chennai Super Kings","Kings XI Punjab","Kings XI Punjab","bat","Chennai Super Kings","wickets",9,113,20,"N",NA,"Asad Rauf","DJ Harper"
336040,"2007/08","Mumbai","2008-06-01","Final","YK Pathan","Dr DY Patil Sports Academy","Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","field","Rajasthan Royals","wickets",3,164,20,"N",NA,"BF Bowden","RE Koertzen"
419106,"2009/10","Mumbai","2010-03-12","League","AD Mathews","Dr DY Patil Sports Academy","Deccan Chargers","Kolkata Knight Riders","Deccan Chargers","field","Kolkata Knight Riders","runs",11,162,20,"N",NA,"RE Koertzen","RB Tiffin"
419107,"2009/10","Mumbai","2010-03-13","League","YK Pathan","Brabourne Stadium","Mumbai Indians","Rajasthan Royals","Mumbai Indians","bat","Mumbai Indians","runs",4,213,20,"N",NA,"RE Koertzen","RB Tiffin"
419119,"2009/10","Mumbai","2010-03-20","League","JH Kallis","Brabourne Stadium","Mumbai Indians","Royal Challengers Bangalore","Mumbai Indians","bat","Royal Challengers Bangalore","wickets",7,152,20,"N",NA,"HDPK Dharmasena","SS Hazare"
419122,"2009/10","Mumbai","2010-03-22","League","SR Tendulkar","Brabourne Stadium","Mumbai Indians","Kolkata Knight Riders","Kolkata Knight Riders","bat","Mumbai Indians","wickets",7,156,20,"N",NA,"SS Hazare","SJA Taufel"
