"id","season","city","date","match_type","player_of_match","venue","team1","team2","toss_winner","toss_decision","winner","result","result_margin","target_runs","target_overs","super_over","method","umpire1","umpire2"
548313,"2012","Pune","2012-04-08","League","MN Samuels","Subrata Roy Sahara Stadium","Pune Warriors","Kings XI Punjab","Pune Warriors","bat","Pune Warriors","runs",22,167,20,"N",NA,"S Das","SJA Taufel"
548322,"2012","Pune","2012-04-14","League","JD Ryder","Subrata Roy Sahara Stadium","Pune Warriors","Chennai Super Kings","Chennai Super Kings","bat","Pune Warriors","wickets",7,156,20,"N",NA,"Aleem Dar","BNJ Oxenford"
548337,"2012","Pune","2012-04-24","League","V Sehwag","Subrata Roy Sahara Stadium","Pune Warriors","Delhi Daredevils","Pune Warriors","bat","Delhi Daredevils","wickets",8,147,20,"N",NA,"S Ravi","RJ Tucker"
548341,"2012","Pune","2012-04-26","League","CL White","Subrata Roy Sahara Stadium","Pune Warriors","Deccan Chargers","Deccan Chargers","bat","Deccan Chargers","runs",18,178,20,"N",NA,"S Ravi","RJ Tucker"
548351,"2012","Pune","2012-05-03","League","SL Malinga","Subrata Roy Sahara Stadium","Pune Warriors","Mumbai Indians","Mumbai Indians","bat","Mumbai Indians","runs",1,121,20,"N",NA,"Asad Rauf","S Asnani"
548358,"2012","Pune","2012-05-08","League","SR Watson","Subrata Roy Sahara Stadium","Pune Warriors","Rajasthan Royals","Pune Warriors","bat","Rajasthan Royals","wickets",7,126,20,"N",NA,"Asad Rauf","BR Doctrove"
548362,"2012","Pune","2012-05-11","League","CH Gayle","Subrata Roy Sahara Stadium","Pune Warriors","Royal Challengers Bangalore","Pune Warriors","field","Royal Challengers Bangalore","runs",35,174,20,"N",NA,"BF Bowden","SK Tarapore"
548375,"2012","Pune","2012-05-19","League","Shakib Al Hasan","Subrata Roy Sahara Stadium","Pune Warriors","Kolkata Knight Riders","Kolkata Knight Riders","bat","Kolkata Knight Riders","runs",34,137,20,"N",NA,"S Asnani","BR Doctrove"
548378,"2012","Pune","2012-05-22","Qualifier 1","YK Pathan","Subrata Roy Sahara Stadium","Delhi Daredevils","Kolkata Knight Riders","Kolkata Knight Riders","bat","Kolkata Knight Riders","runs",18,163,20,"N",NA,"BR Doctrove","SJA Taufel"
598003,"2013","Pune","2013-04-07","League","M Vohra","Subrata Roy Sahara Stadium","Pune Warriors","Kings XI Punjab","Pune Warriors","bat","Kings XI Punjab","wickets",8,100,20,"N",NA,"S Asnani","SJA Taufel"
598009,"2013","Pune","2013-04-11","League","AJ Finch","Subrata Roy Sahara Stadium","Pune Warriors","Rajasthan Royals","Rajasthan Royals","bat","Pune Warriors","wickets",7,146,20,"N",NA,"M Erasmus","K Srinath"
598018,"2013","Pune","2013-04-17","League","A Mishra","Maharashtra Cricket Association Stadium","Pune Warriors","Sunrisers Hyderabad","Pune Warriors","field","Sunrisers Hyderabad","runs",11,120,20,"N",NA,"Asad Rauf","AK Chaudhary"
