"id","season","city","date","match_type","player_of_match","venue","team1","team2","toss_winner","toss_decision","winner","result","result_margin","target_runs","target_overs","super_over","method","umpire1","umpire2"
980911,"2016","Rajkot","2016-04-14","League","AJ Finch","Saurashtra Cricket Association Stadium","Gujarat Lions","Rising Pune Supergiants","Rising Pune Supergiants","bat","Gujarat Lions","wickets",7,164,20,"N",NA,"VA Kulkarni","CK Nandan"
980929,"2016","Rajkot","2016-04-21","League","B Kumar","Saurashtra Cricket Association Stadium","Gujarat Lions","Sunrisers Hyderabad","Sunrisers Hyderabad","field","Sunrisers Hyderabad","wickets",10,136,20,"N",NA,"K Bharatan","HDPK Dharmasena"
980937,"2016","Rajkot","2016-04-24","League","V Kohli","Saurashtra Cricket Association Stadium","Gujarat Lions","Royal Challengers Bangalore","Royal Challengers Bangalore","bat","Gujarat Lions","wickets",6,181,20,"N",NA,"K Bharatan","BNJ Oxenford"
980955,"2016","Rajkot","2016-05-01","League","AR Patel","Saurashtra Cricket Association Stadium","Gujarat Lions","Kings XI Punjab","Gujarat Lions","field","Kings XI Punjab","runs",23,155,20,"N",NA,"BNJ Oxenford","VK Sharma"
980961,"2016","Rajkot","2016-05-03","League","RR Pant","Saurashtra Cricket Association Stadium","Gujarat Lions","Delhi Daredevils","Delhi Daredevils","field","Delhi Daredevils","wickets",8,150,20,"N",NA,"CB Gaffaney","BNJ Oxenford"
1082593,"2017","Rajkot","2017-04-07","League","CA Lynn","Saurashtra Cricket Association Stadium","Gujarat Lions","Kolkata Knight Riders","Kolkata Knight Riders","field","Kolkata Knight Riders","wickets",10,184,20,"N",NA,"Nitin Menon","CK Nandan"
1082603,"2017","Rajkot","2017-04-14","League","AJ Tye","Saurashtra Cricket Association Stadium","Gujarat Lions","Rising Pune Supergiant","Gujarat Lions","field","Gujarat Lions","wickets",7,172,20,"N",NA,"A Nand Kishore","S Ravi"
1082610,"2017","Rajkot","2017-04-18","League","CH Gayle","Saurashtra Cricket Association Stadium","Gujarat Lions","Royal Challengers Bangalore","Gujarat Lions","field","Royal Challengers Bangalore","runs",21,214,20,"N",NA,"S Ravi","VK Sharma"
1082616,"2017","Rajkot","2017-04-23","League","HM Amla","Saurashtra Cricket Association Stadium","Gujarat Lions","Kings XI Punjab","Gujarat Lions","field","Kings XI Punjab","runs",26,189,20,"N",NA,"AK Chaudhary","M Erasmus"
1082625,"2017","Rajkot","2017-04-29","League","KH Pandya","Saurashtra Cricket Association Stadium","Gujarat Lions","Mumbai Indians","Gujarat Lions","bat","Mumbai Indians","tie",NA,154,20,"Y",NA,"AK Chaudhary","CB Gaffaney"
