"id","season","city","date","match_type","player_of_match","venue","team1","team2","toss_winner","toss_decision","winner","result","result_margin","target_runs","target_overs","super_over","method","umpire1","umpire2"
1254113,"2021","Sharjah","2021-09-24","League","DJ Bravo","Sharjah Cricket Stadium","Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings","field","Chennai Super Kings","wickets",6,157,20,"N",NA,"AK Chaudhary","Nitin Menon"
1254107,"2021","Sharjah","2021-09-25","League","JO Holder","Sharjah Cricket Stadium","Punjab Kings","Sunrisers Hyderabad","Sunrisers Hyderabad","field","Punjab Kings","runs",5,126,20,"N",NA,"RK Illingworth","YC Barde"
1254092,"2021","Sharjah","2021-09-28","League","SP Narine","Sharjah Cricket Stadium","Delhi Capitals","Kolkata Knight Riders","Kolkata Knight Riders","field","Kolkata Knight Riders","wickets",3,128,20,"N",NA,"Nitin Menon","HAS Khalid"
1254091,"2021","Sharjah","2021-09-30","League","JR Hazlewood","Sharjah Cricket Stadium","Sunrisers Hyderabad","Chennai Super Kings","Chennai Super Kings","field","Chennai Super Kings","wickets",6,135,20,"N",NA,"Nitin Menon","YC Barde"
1254112,"2021","Sharjah","2021-10-02","League","AR Patel","Sharjah Cricket Stadium","Mumbai Indians","Delhi Capitals","Delhi Capitals","field","Delhi Capitals","wickets",4,130,20,"N",NA,"AK Chaudhary","MA Gough"
1254090,"2021","Sharjah","2021-10-03","League","GJ Maxwell","Sharjah Cricket Stadium","Royal Challengers Bangalore","Punjab Kings","Royal Challengers Bangalore","bat","Royal Challengers Bangalore","runs",6,165,20,"N",NA,"KN Ananthapadmanabhan","RK Illingworth"
1254093,"2021","Sharjah","2021-10-05","League","NM Coulter-Nile","Sharjah Cricket Stadium","Rajasthan Royals","Mumbai Indians","Mumbai Indians","field","Mumbai Indians","wickets",8,91,20,"N",NA,"AK Chaudhary","MA Gough"
1254106,"2021","Sharjah","2021-10-07","League","Shivam Mavi","Sharjah Cricket Stadium","Kolkata Knight Riders","Rajasthan Royals","Rajasthan Royals","field","Kolkata Knight Riders","runs",86,172,20,"N",NA,"MA Gough","HAS Khalid"
1254115,"2021","Sharjah","2021-10-11","Eliminator","SP Narine","Sharjah Cricket Stadium","Royal Challengers Bangalore","Kolkata Knight Riders","Royal Challengers Bangalore","bat","Kolkata Knight Riders","wickets",4,139,20,"N",NA,"CB Gaffaney","VK Sharma"
1254116,"2021","Sharjah","2021-10-13","Qualifier 2","VR Iyer","Sharjah Cricket Stadium","Delhi Capitals","Kolkata Knight Riders","Kolkata Knight Riders","field","Kolkata Knight Riders","wickets",3,136,20,"N",NA,"KN Ananthapadmanabhan","MA Gough"
