"id","season","city","date","match_type","player_of_match","venue","team1","team2","toss_winner","toss_decision","winner","result","result_margin","target_runs","target_overs","super_over","method","umpire1","umpire2"
548311,"2012","Visakhapatnam","2012-04-07","League","RA Jadeja","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Deccan Chargers","Chennai Super Kings","Deccan Chargers","field","Chennai Super Kings","runs",74,194,20,"N",NA,"JD Cloete","HDPK Dharmasena"
548314,"2012","Visakhapatnam","2012-04-09","League","RG Sharma","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Deccan Chargers","Mumbai Indians","Deccan Chargers","bat","Mumbai Indians","wickets",5,139,20,"N",NA,"AK Chaudhary","JD Cloete"
829727,"2015","Visakhapatnam","2015-04-16","League","AM Rahane","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Sunrisers Hyderabad","Rajasthan Royals","Rajasthan Royals","field","Rajasthan Royals","wickets",6,128,20,"N",NA,"PG Pathak","S Ravi"
829731,"2015","Visakhapatnam","2015-04-18","League","JP Duminy","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Sunrisers Hyderabad","Delhi Daredevils","Delhi Daredevils","bat","Delhi Daredevils","runs",4,168,20,"N",NA,"PG Pathak","S Ravi"
829743,"2015","Visakhapatnam","2015-04-22","League","DA Warner","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Sunrisers Hyderabad","Kolkata Knight Riders","Kolkata Knight Riders","field","Sunrisers Hyderabad","runs",16,118,12,"N","D/L","RK Illingworth","VA Kulkarni"
980973,"2016","Visakhapatnam","2016-05-08","League","A Nehra","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians","field","Sunrisers Hyderabad","runs",85,178,20,"N",NA,"S Ravi","C Shamshuddin"
980979,"2016","Visakhapatnam","2016-05-10","League","A Zampa","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Rising Pune Supergiants","Sunrisers Hyderabad","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","runs",4,138,20,"N",NA,"CB Gaffaney","VK Sharma"
980985,"2016","Visakhapatnam","2016-05-13","League","MP Stoinis","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Mumbai Indians","Kings XI Punjab","Mumbai Indians","bat","Kings XI Punjab","wickets",7,125,20,"N",NA,"HDPK Dharmasena","CK Nandan"
980993,"2016","Visakhapatnam","2016-05-15","League","KH Pandya","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Mumbai Indians","Delhi Daredevils","Delhi Daredevils","field","Mumbai Indians","runs",80,207,20,"N",NA,"Nitin Menon","CK Nandan"
980997,"2016","Visakhapatnam","2016-05-17","League","AB Dinda","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Rising Pune Supergiants","Delhi Daredevils","Rising Pune Supergiants","field","Rising Pune Supergiants","runs",19,58,11,"N","D/L","Nitin Menon","C Shamshuddin"
981005,"2016","Visakhapatnam","2016-05-21","League","MS Dhoni","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Rising Pune Supergiants","Kings XI Punjab","Kings XI Punjab","bat","Rising Pune Supergiants","wickets",4,173,20,"N",NA,"HDPK Dharmasena","Nitin Menon"
1181766,"2019","Visakhapatnam","2019-05-08","Eliminator","RR Pant","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Sunrisers Hyderabad","Delhi Capitals","Delhi Capitals","field","Delhi Capitals","wickets",2,163,20,"N",NA,"BNJ Oxenford","S Ravi"
1181767,"2019","Visakhapatnam","2019-05-10","Qualifier 2","F du Plessis","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Delhi Capitals","Chennai Super Kings","Chennai Super Kings","field","Chennai Super Kings","wickets",6,148,20,"N",NA,"BNJ Oxenford","S Ravi"
1422131,"2024","Visakhapatnam","2024-03-31","League","KK Ahmed","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","Delhi Capitals","Chennai Super Kings","Delhi Capitals","bat","Delhi Capitals","runs",20,192,20,"N",NA,"HDPK Dharmasena","Vinod Seshan"
1422134,"2024","Visakhapatnam","2024-04-03","League","SP Narine","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","Kolkata Knight Riders","Delhi Capitals","Kolkata Knight Riders","bat","Kolkata Knight Riders","runs",106,273,20,"N",NA,"A Totre","UV Gandhe"
